Başlık,Konum,Oda Sayısı,Metrekare,Kat,Fiyat,Yapı Yaşı,Eşya,Isıtma,URL
"İstanbul (deniz) Manzaralı, Arakat Geniş 3+1",İstanbul / Kartal / Hürriyet Mah.,3+1,132,6,74500,23,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-kartal-hurriyet-kiralik/daire/165962-60
Century21 Ataşehir Iörnek Mah.Site İçerisinde Eşyalı 1+1 Daire..,İstanbul / Ataşehir / Örnek Mah.,1+1,53,9,24500,14,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-atasehir-ornek-kiralik/daire/151273-58
Sevinç Emlak Tan Kiralik 3+2 Dublex,İstanbul / Gaziosmanpaşa / Hürriyet Mah.,3+2,208,6,165000,22,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-gaziosmanpasa-hurriyet-kiralik/daire/145646-12
Her Detayı Düşünülmüş Sıfır 2+1 Konut,İstanbul / Pendik / Esenler Mah.,2+1,86,7,35000,1,Eşyalı,Klima (Split),https://www.hepsiemlak.com/istanbul-pendik-esenler-kiralik/daire/164465-104
Kiralık Daire,İstanbul / Ümraniye / Esenşehir Mah.,2+1,82,1,54500,13,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-umraniye-esensehir-kiralik/daire/166310-6
Cenk Atalay Solak'tan Statüpark'ta 9.Kat 2+1 Kiralık Daire,İstanbul / Pendik / Yeni Mah.,2+1,82,12,43500,24,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-pendik-yeni-kiralik/daire/133645-58
Kasımpaşada Kiralık İskeleye Yürüme Mesafesinde,İstanbul / Beyoğlu / Camiikebir Mah.,2+1,86,12,71000,10,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-beyoglu-camiikebir-kiralik/daire/165816-33
Sancaktepe Mevlana Mah.Cdde Üstü 2+1 Geniş Ferah Kiralık Daire,İstanbul / Sancaktepe / Mevlana Mah.,2+1,75,11,41000,2,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sancaktepe-mevlana-kiralik/daire/58953-61
Yılmaz Gayrimenkulden Şemsipaşada 2+1 80 M2 Yüksek Giriş,İstanbul / Gaziosmanpaşa / Şemsipaşa Mah.,2+1,80,0,44000,1,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-gaziosmanpasa-semsipasa-kiralik/daire/166516-13
Beylikdüzü Gürpınar 5+2 Dubleks Daire,İstanbul / Büyükçekmece / Pınartepe Mah.,5+2,203,4,119000,8,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-buyukcekmece-pinartepe-kiralik/daire/124073-114
Modern Yaka 2+1 Panaromik Manzara Kapalı Mutfak 100m2,İstanbul / Avcılar / Tahtakale Mah.,2+1,100,5,49500,10,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-avcilar-tahtakale-kiralik/daire/165367-35
Yeni Fikirtepe Konutlarında Kapalı Mutfaklı 75m2 2+1 Köşe Daire,İstanbul / Kadıköy / Fikirtepe Mah.,2+1,75,10,89500,23,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-kadikoy-fikirtepe-kiralik/daire/1049-170864
Site Mahallesi İfm Yakını 3+1 Kiralık Daire-Tuğ Gayrimenkul,İstanbul / Ümraniye / Site Mah.,3+1,122,7,81000,11,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-umraniye-site-kiralik/daire/134376-206
Alya Teras Levent 2+1 Penthouse Full Eşyalı E. Banyolu,İstanbul / Kağıthane / Çeliktepe Mah.,2+1,87,10,57500,19,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kagithane-celiktepe-kiralik/daire/165951-25
Kağıthane Telsizler'de Kiralık 1+1 Daire Caddeye Paralel,İstanbul / Kağıthane / Telsizler Mah.,1+1,53,10,38000,24,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-kagithane-telsizler-kiralik/daire/128979-541
Çekmeköy Taşdelen’de Manzaralı 2+1 Kıralık Daıre,İstanbul / Çekmeköy / Cumhuriyet Mah.,2+1,80,3,52000,12,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-cekmekoy-cumhuriyet-kiralik/daire/150746-189
Eyüpsultan Ramide Kiralık 2+1 Arakat Daire (açıklamayı Okuyunuz),İstanbul / Eyüpsultan / Rami Yeni Mah.,2+1,76,11,51000,6,Eşyalı,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-eyupsultan-rami-yeni-kiralik/daire/136915-1732
Yahya Kemalde Caddeye Yakın Yeni Binada 3+1 Ters Dubleks Daire,İstanbul / Kağıthane / Yahya Kemal Mah.,3+1,114,7,68500,1,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-kagithane-yahya-kemal-kiralik/daire/114831-99
Esenyurt Orıon Parkta Havuzlu Site Lüks Eşyalı Kiralık 2+1 Daire,İstanbul / Esenyurt / Bağlarçeşme Mah.,2+1,82,9,35500,12,Eşyalı,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-esenyurt-baglarcesme-kiralik/daire/161628-53
Albayrak Emlaktan Çınarköyde Büyük Tip Büyük Balkonlu Daire,İstanbul / Çekmeköy / Güngören Mah.,2+1,78,6,35500,5,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-cekmekoy-gungoren-kiralik/daire/86454-1611
Mesa Cadde'de Full Deniz Manzaralı Kiralık 2+1,İstanbul / Maltepe / Feyzullah Mah.,2+1,86,2,52000,4,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-maltepe-feyzullah-kiralik/daire/138031-1165
Toryuma Yürüme Mesafeli 2+1 Bahçe Kat,İstanbul / Esenyurt / Namık Kemal Mah.,2+1,83,7,24500,9,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-esenyurt-namik-kemal-kiralik/daire/162416-59
Capital'den Bosphorus City Kiralık 4+1 Yalı Dairesi,İstanbul / Küçükçekmece / Atakent Mah.,4+1,326,2,156000,3,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kucukcekmece-atakent-kiralik/daire/150742-69
Armağan Evlerde Ankastreli Sıfır 2+1 Kiralık Daire,İstanbul / Ümraniye / Armağanevler Mah.,2+1,85,9,64500,1,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-umraniye-armaganevler-kiralik/daire/164523-50
Çengelköy Anacadde Üstü Konut & Avm Projesinde 2+1 Kiralık Daire,İstanbul / Üsküdar / Çengelköy Mah.,2+1,85,8,80500,0,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-uskudar-cengelkoy-kiralik/daire/126559-663
Tarabya'da Deniz Manzaralı Kiralık Eşyalı 3+1 Daire,İstanbul / Sarıyer / Tarabya Mah.,3+1,127,9,93500,12,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sariyer-tarabya-kiralik/daire/64050-122
Büyükada Emlak'tan Kiralık 3+1 Deniz Manzaralı Köşk Dairesi,İstanbul / Adalar / Maden Mah.,3+1,305,1,211000,7,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-adalar-maden-kiralik/daire/82579-1092
Beylikdüzü Sahil Mahallesinde Deniz Manzaralı Lüks Kiralık Konut,İstanbul / Beylikdüzü / Sahil Mah.,2+1,80,8,39000,24,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-beylikduzu-sahil-kiralik/daire/160908-26
Bahçelievler Yayla Yakın Yerde Ferit Selimpaşa Caddesi Üzerinde Yakın Kiralık Dükkan,İstanbul / Bahçelievler / Soğanlı Mah.,2+1,84,2,56000,11,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-bahcelievler-soganli-kiralik/daire/146429-110
Aslan Emlak Gayrimenkulden Küçükçekmece Yeşilova Kiralık Daire,İstanbul / Küçükçekmece / Yeşilova Mah.,2+1,80,5,53500,22,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-kucukcekmece-yesilova-kiralik/daire/152630-78
Ercin Yapı'dan Avcılar Metrobüse 1 Dakika Mesafede Ful Eşyalı!!,İstanbul / Avcılar / Üniversite Mah.,2+1,82,12,33500,2,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-avcilar-universite-kiralik/daire/125611-776
Teşvikiye Merkezi Konumda 4+1 Geniş Daire,İstanbul / Şişli / Teşvikiye Mah.,4+1,174,10,229500,6,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/daire/134099-4
Avcılar Merkez Gayrimenkulden 1+1 Cihangirde Kiralık Daire,İstanbul / Avcılar / Cihangir Mah.,1+1,58,1,35000,13,Eşyasız,Yerden Isıtma,https://www.hepsiemlak.com/istanbul-avcilar-cihangir-kiralik/daire/160760-161
Sultanbeyli Akşemseddin Mah. 2+1 Geniş Ferah Daire,İstanbul / Sultanbeyli / Akşemsettin Mah.,2+1,89,5,30000,12,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-sultanbeyli-aksemsettin-kiralik/daire/162096-120
Sarıgazi Merkezde 3+1 Kiralık Daire,İstanbul / Sancaktepe / Atatürk Mah.,3+1,103,7,66500,20,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-sancaktepe-ataturk-kiralik/daire/158387-49
Real Golden Keyden Cadde Üzerinde İçi Komple Sıfırlanmış 3+1,İstanbul / Şişli / Halide Edip Adıvar Mah.,3+1,116,8,125500,1,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-halide-edip-adivar-kiralik/daire/125271-205
"Büyükçekmece' De Kiralık Müstakil Tadında Lüx 5+1 Dublex Bahçeli, Deniz Ve Göl Manzaralı",İstanbul / Büyükçekmece / Cumhuriyet Mah.,5+1,319,10,149500,1,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-buyukcekmece-cumhuriyet-kiralik/daire/161708-28
Mehmet Akif'te Caddeye Yakın Kiralık 2+1 Tadilatlı Daire,İstanbul / Küçükçekmece / Mehmet Akif Mah.,2+1,90,9,56000,21,Eşyasız,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-kucukcekmece-mehmet-akif-kiralik/daire/160129-25
İşyerine Kiralamaya Uygun İçi Restorasyona Hazır Triplex Villa,İstanbul / Büyükçekmece / Bahçelievler Mah.,2+1,337,7,137000,14,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-buyukcekmece-bahcelievler-kiralik/villa/159368-26
Akbal Emlak Ümraniye Atatürk Mah. 120 M2 3+1 36.500. Tl,İstanbul / Ümraniye / Atatürk Mah.,3+1,120,11,66500,5,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-umraniye-ataturk-kiralik/daire/6863-746
Kondakcı Emlaktan Taksime 5dakika Yürüme Mesafesinde 1+1 Daire,İstanbul / Beyoğlu / Yahya Kahya Mah.,1+1,56,6,54000,4,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-beyoglu-yahya-kahya-kiralik/daire/36320-2042
Sahibinden Komisyonsuz Eşyalı İstiklal' E Yakın  (1+1),İstanbul / Beyoğlu / Kuloğlu Mah.,1+1,67,6,48500,3,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-beyoglu-kuloglu-kiralik/daire/0-30444158
Eşyalı 7/24 Guv 1++1 30000,İstanbul / Şişli / Gülbahar Mah.,2+1,81,12,90000,5,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/167627-30
Efor Çok'tan Turgut Reis'de 1+1 60m2 Kiralık Temiz Daire,İstanbul / Esenler / Turgut Reis Mah.,1+1,60,8,19000,7,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-esenler-turgut-reis-kiralik/daire/164742-613
"Size Özel Feriköyde,Merkezi Lokasyonda, İçi Yenilenmiş,2+1",İstanbul / Şişli / Feriköy Mah.,2+1,96,4,99000,23,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sisli-ferikoy-kiralik/daire/2845-4399
Dumankaya Modern Ara Kat Kiralık 2+1 Bahçeşehir,İstanbul / Esenyurt / Koza Mah.,2+1,96,8,36500,3,Eşyasız,Klima (Split),https://www.hepsiemlak.com/istanbul-esenyurt-koza-kiralik/daire/167147-116
Zafer Mah.Torium Avm Metrobüse Yürümeli Yaşam Site İçinde 1+1 Fırsat Kiralık Daire,İstanbul / Esenyurt / Zafer Mah.,1+1,58,6,22500,3,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-esenyurt-zafer-kiralik/daire/126170-1090
Tuncaydan Mecidiyeköy Meydanda Tüm Faturalar Dahil1+1 Daire,İstanbul / Şişli / Mecidiyeköy Mah.,1+1,63,8,49000,23,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-mecidiyekoy-kiralik/daire/101613-2648
Paksoy'dan Ful Deniz Manzaralı 1. Katta Eşyasız Kombili Balkonlu Kiralık 120 M2 2+1 Daire,İstanbul / Beyoğlu / Kılıçali Paşa Mah.,2+1,120,3,107500,24,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-beyoglu-kilicali-pasa-kiralik/daire/55671-775
Mahir'den Emlak Konut Yeni Fikirtepe 16. Etap Kiralık 2+1 Daire,İstanbul / Kadıköy / Dumlupınar Mah.,2+1,86,7,55000,14,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-kadikoy-dumlupinar-kiralik/daire/30608-5406
Metrobüse Yakın Sıte Içerısınde Sosyal Aktiviteli  Temız Daıre,İstanbul / Esenyurt / Akevler Mah.,2+1,84,3,35000,3,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-esenyurt-akevler-kiralik/daire/145353-242
Kadıköy Rasimpaşa'da Boğa Ve Belediye Yakını Kiralık Eşyalı Stüdyo Daire,İstanbul / Kadıköy / Rasimpaşa Mah.,2+1,91,8,88000,6,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-kadikoy-rasimpasa-kiralik/daire/80253-981
Kağıthane Hamidiye Mahallesi Kiralık 2+1 Daire,İstanbul / Kağıthane / Hamidiye Mah.,2+1,91,8,49500,10,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kagithane-hamidiye-kiralik/daire/6580-446
Cadde Üzeri Kapalı Otoparklı Sıfır 2+1 105 M2 Çift Wc Kiralık,İstanbul / Avcılar / Tahtakale Mah.,2+1,105,10,46000,0,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-avcilar-tahtakale-kiralik/daire/167506-118
Nef İnistanbul 125m2 Full Eşyalı Havuz Manz.2+1 Kiralık Daire,İstanbul / Zeytinburnu / Maltepe Mah.,2+1,125,4,47500,11,Eşyalı,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-zeytinburnu-maltepe-kiralik/daire/167213-32
Avrupa Konutları Tem Sitesinde 2+1 Kiralık Daire,İstanbul / Gaziosmanpaşa / Karayolları Mah.,2+1,97,1,50500,7,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-gaziosmanpasa-karayollari-kiralik/daire/24811-28261
Deniz Manzaralı Geniş Ve Ferah Kullanım Sıfır Daire,İstanbul / Tuzla / Aydıntepe Mah.,2+1,83,12,47000,0,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-tuzla-aydintepe-kiralik/daire/158773-127
Ispartakule Tual Comfort 2+1 Çift Banyo,İstanbul / Avcılar / Tahtakale Mah.,2+1,81,4,40000,25,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-avcilar-tahtakale-kiralik/daire/165107-79
Dekar Ayışığı Bahçeli Dubleks Villa 3+1,İstanbul / Başakşehir / Bahçeşehir 1. Kısım Mah.,3+1,317,5,182500,1,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-1-kisim-kiralik/villa/160612-112
Pendik Yayalar Mah. Finia Paşapark 3+1 Kiralık Daire,İstanbul / Pendik / Yayalar Mah.,3+1,123,5,54000,8,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-pendik-yayalar-kiralik/daire/144355-893
İnönü Mahallesi 1+1 Kullanışlı Kiralık Daire,İstanbul / Küçükçekmece / İnönü Mah.,1+1,57,3,31500,18,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-kucukcekmece-inonu-kiralik/daire/129706-360
Süzer Plaza Ritz Carlton'da Boğaz Manzaralı Kiralık 1+1 Daire,İstanbul / Şişli / Teşvikiye Mah.,1+1,55,8,58500,2,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-tesvikiye-kiralik/residence/98015-2348
Beyoğlu Cihangir'de Teraslı Deniz Manzaralı Yeni Binada 4+1 Dubleks,İstanbul / Beyoğlu / Cihangir Mah.,4+1,155,10,207000,1,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-beyoglu-cihangir-kiralik/daire/104642-2893
"Direct'ten Sıfır 7/24 Güvenlikli Sitede,Balkonlu,Geniş Ferah 2+1!",İstanbul / Maltepe / Aydınevler Mah.,2+1,85,4,45000,1,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-maltepe-aydinevler-kiralik/daire/3447-21845
Sümbülefendi Cami Civarı 1+1 Kombili Otoparklı Bahçe Katı,İstanbul / Fatih / Sümbül Efendi Mah.,1+1,56,6,36000,4,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-fatih-sumbul-efendi-kiralik/daire/40563-1017
"Pendik,Esenyalı Cadde Üzeri Sıfır Binada 3. Kat 100 M² Kiralık D",İstanbul / Pendik / Esenyalı Mah.,2+1,100,3,41500,0,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-pendik-esenyali-kiralik/daire/164253-69
Taksim Gümüşsuyunda Yeni Lüx Binada Full Eşyalı Asansörlü Binada 1+1 Kombi Ve Klimalı Daire.,İstanbul / Beyoğlu / Gümüşsuyu Mah.,1+1,71,1,55500,15,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-beyoglu-gumussuyu-kiralik/daire/117700-474
Yalçın'dan Maltepe Nar Lıfe'ta 1+1 Kiralık Stüdyo Daire,İstanbul / Maltepe / Başıbüyük Mah.,1+1,54,3,37500,21,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-maltepe-basibuyuk-kiralik/daire/1002-3487
Silivri Kiptaş3'te Kiralık 2+1 Daire 21.000tl Öner Emlak,İstanbul / Silivri / Mimar Sinan Mah.,2+1,97,3,21000,3,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-silivri-mimar-sinan-kiralik/daire/97262-1237
Caddebostan Sahilde Sıfır Binada Kısmi Deniz Manzaralı 85m² 2+1,İstanbul / Kadıköy / Caddebostan Mah.,2+1,85,12,79500,1,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-kiralik/daire/32754-3258
Merkezde 1+1 Eşyalı Faturalar Dahil Kiralık Teraslı Daire,İstanbul / Kağıthane / Merkez Mah.,1+1,55,10,44500,18,Eşyalı,Klima (Split),https://www.hepsiemlak.com/istanbul-kagithane-merkez-kiralik/daire/88293-3165
F-L Emlaktan Cumhuriyet Sınırı Fetih Te 1+1 Giriş Kat,İstanbul / Ataşehir / Fetih Mah.,1+1,61,1,32500,2,Eşyasız,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-atasehir-fetih-kiralik/daire/120150-4402
"Konut Realty | Gümüşsuyu'nda Yenilenmiş 3+1 Balkonlu, 2 Banyolu",İstanbul / Beyoğlu / Ömer Avni Mah.,3+1,122,7,117500,16,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-beyoglu-omer-avni-kiralik/daire/1361-17628
Kamilobada Kiralık 3+2 Villa,İstanbul / Büyükçekmece / Kamiloba Mah.,3+2,308,2,138000,16,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-buyukcekmece-kamiloba-kiralik/daire/67448-621
Dost Gayrimenkulden Kiralık Daire Havaalanı Mah. 1+1 Bahçe Katı,İstanbul / Esenler / Havaalanı Mah.,1+1,65,1,20500,22,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-esenler-havaalani-kiralik/daire/148556-103
Pendik Dumlupınar Mah 3+1 Kiralık Daire,İstanbul / Pendik / Dumlupınar Mah.,3+1,114,7,64000,13,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-pendik-dumlupinar-kiralik/daire/165411-29
Üsküdar Silahtar Bahçede 2+1 Kombili Daire 23 Bün Tl,İstanbul / Üsküdar / Murat Reis Mah.,2+1,93,8,55500,16,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-uskudar-murat-reis-kiralik/daire/154144-27
Çanta Balaban Merkezde 2+1 Kiralık Daire,İstanbul / Silivri / Çanta Balaban Mah.,2+1,88,12,27500,25,Eşyasız,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-silivri-canta-balaban-kiralik/daire/158074-51
Sultan Selim’de 2+1 Geniş Ferah Daire,İstanbul / Kağıthane / Sultan Selim Mah.,2+1,85,3,46500,21,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-kagithane-sultan-selim-kiralik/daire/46491-952
Şişli’de Full Eşyalı 3 + 1 Daire Cadde Yürüme Mesafesi Metroya Yürüme Mesafesi,İstanbul / Şişli / İnönü Mah.,2+1,97,1,99000,19,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sisli-inonu-kiralik/daire/110013-279
Silivri'de Sahibinden Kiralık Daire,İstanbul / Silivri / Mimar Sinan Mah.,2+1,85,8,29000,20,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-silivri-mimar-sinan-kiralik/daire/0-46171981
Altın Anahtar Gayrimenkulden Kiralık Boş 2+1 Ara Kat Daire,İstanbul / Sancaktepe / Eyüp Sultan Mah.,2+1,89,2,50000,24,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sancaktepe-eyup-sultan-kiralik/daire/161599-22
"1+1 Bekar,  Evli,  Öğrenci, Aileye Uygun Kiralık",İstanbul / Sarıyer / Reşitpaşa Mah.,1+1,56,1,29000,9,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sariyer-resitpasa-kiralik/daire/0-46158455
Satılık Bağlar Çeşme Kiralık Daire 100 Metre,İstanbul / Esenyurt / Çınar Mah.,2+1,80,9,34500,3,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-esenyurt-cinar-kiralik/daire/0-46118768
Boş Kiralık Daire,İstanbul / Üsküdar / Kirazlıtepe Mah.,2+1,91,12,59000,5,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-uskudar-kirazlitepe-kiralik/daire/0-46112089
Metroya Yakın 1+1 Yüksek Giriş,İstanbul / Arnavutköy / Anadolu Mah.,1+1,58,1,19500,0,Eşyasız,Soba/Doğalgaz,https://www.hepsiemlak.com/istanbul-arnavutkoy-anadolu-kiralik/daire/0-46092733
Kiralık 65 Metrekare Çatı Kat,İstanbul / Esenyurt / Yenikent Mah.,2+1,84,10,40000,10,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-esenyurt-yenikent-kiralik/daire/0-44696463
Beyoğlu'nda Merkezde Yenilenmiş Taş Binada Yüksek Tavanlı Full Eşyalı Klimalı (40)m2 Stüdyo Daire,İstanbul / Beyoğlu / Hüseyinağa Mah.,2+1,88,12,80000,8,Eşyalı,Klima (Split),https://www.hepsiemlak.com/istanbul-beyoglu-huseyinaga-kiralik/daire/45647-1830
Barbaros Hayrettin Paşa'da Ebeveyn Banyolu 3+1 Geniş M2 Bekara Aileye Uygun Kiralık Daire,İstanbul / Esenyurt / Barbaros Hayrettin Paşa Mah.,3+1,120,9,40500,0,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-esenyurt-barbaros-hayrettin-pasa-kiralik/daire/125785-638
Kozapark Kinali'da Bos Manzarali,İstanbul / Esenyurt / Koza Mah.,2+1,87,2,37000,18,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-esenyurt-koza-kiralik/daire/167960-47
Sinpaş Queen 36.Kat 1+1 Balkonlu Daire-Bomonti,İstanbul / Şişli / Cumhuriyet Mah.,1+1,49,10,63500,2,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-sisli-cumhuriyet-kiralik/residence/67376-2255
Ergenler'den Atışalanında Bakımlı Temiz Kiralık Daire,İstanbul / Esenler / Havaalanı Mah.,2+1,84,8,39000,18,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-esenler-havaalani-kiralik/daire/154681-102
"Bebek, Koruda, Havuzlu, Bahçekullanıml Keyifli...",İstanbul / Beşiktaş / Bebek Mah.,2+1,84,7,88500,10,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-besiktas-bebek-kiralik/daire/5575-12856
Metsan Nexus Kartal'da Adalar&deniz Manzaralı Kiralık 2+1 Daire,İstanbul / Kartal / Hürriyet Mah.,2+1,105,4,42000,25,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-kartal-hurriyet-kiralik/daire/3995-27293
Fulya Polat Resıdencede Kiralık 1+1 Daire,İstanbul / Şişli / Fulya Mah.,1+1,50,1,63500,20,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-sisli-fulya-kiralik/residence/123077-652
Evax Gayrımenkul'den Faturalar Dahıl Esyalı Balkonlu 1+1 Daıre,İstanbul / Ataşehir / İnönü Mah.,1+1,62,2,39000,9,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-atasehir-inonu-kiralik/daire/2210-2749
Bahçeşehir Spradon Akik Blokları Kiralık 2+1 Daire,İstanbul / Başakşehir / Bahçeşehir 2. Kısım Mah.,2+1,86,6,60000,2,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-2-kisim-kiralik/daire/104328-690
Newcity'de Manzaralı Geniş Ferah Ebeveyn Banyolu Kiralık 3+1,İstanbul / Üsküdar / Ünalan Mah.,3+1,115,11,62500,23,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-uskudar-unalan-kiralik/daire/68576-697
Mecidiyeköy Metroya 5dk Eşyalı Temiz 2+1,İstanbul / Şişli / Gülbahar Mah.,2+1,85,9,55000,7,Eşyalı,Klima (Split),https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/161973-48
Küçükyalı 63'de Ön Cephe Prestijli Binada Katta 1+1,İstanbul / Maltepe / Küçükyalı Mah.,1+1,67,4,30500,15,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-maltepe-kucukyali-kiralik/daire/66056-10809
Tarabyada Kiralık 1+1 Daire,İstanbul / Sarıyer / Tarabya Mah.,1+1,62,4,33000,4,Eşyalı,Kombi,https://www.hepsiemlak.com/istanbul-sariyer-tarabya-kiralik/daire/67980-1631
Maslak Ağaoğlu1453 Kiralık 2+1  Boş Orman Manzaralı Daire,İstanbul / Sarıyer / Maslak Mah.,2+1,83,2,106000,19,Eşyalı,Yerden Isıtma,https://www.hepsiemlak.com/istanbul-sariyer-maslak-kiralik/daire/10000-16494
Fenerbahçe'de 5 Yol Cepheli Yeni 3+1 Daire,İstanbul / Kadıköy / Fenerbahçe Mah.,3+1,115,1,107500,10,Eşyalı,Merkezi,https://www.hepsiemlak.com/istanbul-kadikoy-fenerbahce-kiralik/daire/65181-4762
Tüm Faturalar Kira Bedeline Dahil Bahçe Kullanımlı Bahçe Katı,İstanbul / Ataşehir / Kayışdağı Mah.,2+1,92,5,54000,0,Eşyasız,Kombi,https://www.hepsiemlak.com/istanbul-atasehir-kayisdagi-kiralik/daire/88546-4798
Ferah Balkonlu Kiralık 2+1,İstanbul / Üsküdar / Ferah Mah.,2+1,84,3,57000,7,Eşyasız,Merkezi,https://www.hepsiemlak.com/istanbul-uskudar-ferah-kiralik/daire/168038-73
